Name,Username,Followers,Following,Posts
AbbVie Italia,AbbVieItalia,1566,64,238
Alfasigma,AlfasigmaSpa,124,399,144
Osservatorio Salute,osservasaluteaz,10859,316,7092
Bayer Italia,BayerItalia,4246,2082,2751
BIOVIIIx,BIOVIIIx,1724,3681,698
Coloplast Italia,Coloplastitalia,646,1903,193
Daiichi Sankyo Italia,DaiichiSankyoIT,687,66,244
DOC Generici,docgenerici,328,177,1688
Dompé,DompeFarma,415,74,1088
Lilly Italia,EliLillyItalia,14454,1164,7086
Fidia Farmaceutici,Fidiapharma,292,113,380
GSK_IT,gsk_it,948,930,1509
IBSA Italia,IBSAItalia,574,246,660
Janssen Italia,JanssenITA,2577,280,2275
LEO Pharma Italia,LEOPharmaIt,6791,6896,962
Lundbeck Italia,LundbeckItalia,2627,192,291
MSD Salute,msdsalute,25744,3411,21232
Neopharmed Gentili,neopharmed,817,3351,1479
Novartis Italia,NovartisItalia,7599,228,1984
Novo Nordisk Italia,NovoNordiskITA,1534,873,2377
Pfizer Italia,pfizeritalia,1295,51,235
Sanofi Genzyme IT,SanofiGenzymeIT,5181,417,3023
Sanofi Italia,SanofiIT,18055,389,9551
SIFI SpA,sifigroup,798,899,2255
Teva Italia,Teva_IT,791,145,1074
Zambon,ZambonPharma,1104,156,1299
Zentiva Italia,ZentivaIT,1636,87,883
